,Timestamp,Route Identifier,Transportation Mode,Origin Location,Destination Location,Shipment Quantity,Transportation Costs
69,2023-01-06,Route D,Truck,City C,City Y,88,257.03
70,2023-01-06,Route D,Truck,City C,City W,80,751.98
71,2023-01-06,Route D,Ship,City B,City Y,53,34.54
72,2023-01-07,Route A,Air,City D,City Y,35,167.61
73,2023-01-07,Route A,Truck,City D,City X,61,230.21
74,2023-01-07,Route A,Rail,City C,City Z,30,230.69
75,2023-01-07,Route B,Ship,City D,City Z,36,865.71
76,2023-01-07,Route B,Air,City C,City W,87,981.34
77,2023-01-07,Route B,Pipeline,City C,City X,15,878.27
78,2023-01-07,Route C,Air,City B,City Z,5,117.32
79,2023-01-07,Route C,Rail,City C,City Z,56,610.15
80,2023-01-07,Route C,Pipeline,City A,City W,74,198.18
81,2023-01-07,Route D,Truck,City D,City X,67,926.32
82,2023-01-07,Route D,Pipeline,City B,City Z,56,79.27
83,2023-01-07,Route D,Air,City C,City X,93,901.05
84,2023-01-08,Route A,Pipeline,City C,City W,42,408.38
85,2023-01-08,Route A,Air,City B,City Y,54,668.28
86,2023-01-08,Route A,Rail,City B,City Z,52,552.46
87,2023-01-08,Route B,Truck,City C,City Z,27,435.59
88,2023-01-08,Route B,Pipeline,City C,City W,57,447.74
89,2023-01-08,Route B,Ship,City D,City Y,85,93.95
90,2023-01-08,Route C,Pipeline,City C,City X,97,242.52
91,2023-01-08,Route C,Air,City B,City Y,19,34.18
92,2023-01-08,Route C,Ship,City D,City X,59,420.3
93,2023-01-08,Route D,Pipeline,City B,City W,64,405.66
94,2023-01-08,Route D,Ship,City A,City X,100,430.89
95,2023-01-08,Route D,Ship,City D,City X,72,256.71
96,2023-01-09,Route A,Truck,City D,City Y,60,670.9
97,2023-01-09,Route A,Pipeline,City C,City W,79,816.86
98,2023-01-09,Route A,Pipeline,City D,City W,21,746.22
99,2023-01-09,Route B,Rail,City D,City Z,97,254.77
100,2023-01-09,Route B,Air,City D,City Y,36,445.47
101,2023-01-09,Route B,Air,City B,City Z,43,326.51
102,2023-01-09,Route C,Pipeline,City A,City Y,20,238.95
103,2023-01-09,Route C,Ship,City B,City X,54,413.52
104,2023-01-09,Route C,Pipeline,City D,City W,8,214.77
105,2023-01-09,Route D,Rail,City D,City X,98,579.93
106,2023-01-09,Route D,Rail,City A,City Z,39,755.94
107,2023-01-09,Route D,Rail,City B,City W,29,280.21
108,2023-01-10,Route A,Rail,City A,City W,44,672.18
109,2023-01-10,Route A,Rail,City B,City W,17,980.91
110,2023-01-10,Route A,Pipeline,City A,City W,76,568.75
111,2023-01-10,Route B,Truck,City A,City W,18,868.18
112,2023-01-10,Route B,Ship,City A,City Z,49,334.08
113,2023-01-10,Route B,Rail,City C,City Z,98,880.84
114,2023-01-10,Route C,Air,City D,City Z,11,475.6
115,2023-01-10,Route C,Pipeline,City A,City Z,29,653.64
116,2023-01-10,Route C,Truck,City A,City Y,26,840.84
117,2023-01-10,Route D,Pipeline,City B,City Y,17,478.83
118,2023-01-10,Route D,Truck,City B,City W,90,263.68
119,2023-01-10,Route D,Air,City B,City X,100,821.11
120,2023-01-11,Route A,Air,City A,City X,40,580.04
121,2023-01-11,Route A,Rail,City D,City Y,10,596.18
122,2023-01-11,Route A,Ship,City A,City Z,88,604.41
123,2023-01-11,Route B,Truck,City A,City Z,69,434.09
124,2023-01-11,Route B,Air,City A,City Z,2,851.08
125,2023-01-11,Route B,Rail,City A,City W,47,639.23
126,2023-01-11,Route C,Rail,City B,City W,23,736.46
127,2023-01-11,Route C,Air,City D,City W,56,827.48
128,2023-01-11,Route C,Pipeline,City C,City Z,32,832.42
129,2023-01-11,Route D,Truck,City C,City W,32,752.97
130,2023-01-11,Route D,Pipeline,City D,City Z,4,499.36
131,2023-01-11,Route D,Air,City B,City W,28,361.28
132,2023-01-12,Route A,Air,City C,City Z,77,704.17
133,2023-01-12,Route A,Air,City A,City Y,11,248.94
134,2023-01-12,Route A,Rail,City D,City Y,89,481.33
135,2023-01-12,Route B,Rail,City D,City X,12,301.29
136,2023-01-12,Route B,Rail,City B,City Z,85,585.74
137,2023-01-12,Route B,Rail,City C,City W,96,554.88
138,2023-01-12,Route C,Air,City D,City Z,40,258.89
139,2023-01-12,Route C,Truck,City B,City Z,16,745.45
140,2023-01-12,Route C,Ship,City B,City Y,95,489.36
141,2023-01-12,Route D,Pipeline,City C,City X,25,303.28
142,2023-01-12,Route D,Air,City B,City Z,2,710.94
143,2023-01-12,Route D,Ship,City C,City X,7,557.83
144,2023-01-13,Route A,Ship,City D,City X,2,578.32
145,2023-01-13,Route A,Rail,City D,City W,44,192.52
146,2023-01-13,Route A,Truck,City C,City W,15,823.89
147,2023-01-13,Route B,Rail,City D,City X,74,633.15
148,2023-01-13,Route B,Truck,City B,City Y,73,949.63
149,2023-01-13,Route B,Truck,City B,City X,72,766.8
150,2023-01-13,Route C,Pipeline,City B,City W,58,909.42
151,2023-01-13,Route C,Air,City D,City Z,73,624.82
152,2023-01-13,Route C,Pipeline,City A,City Y,81,218.91
153,2023-01-13,Route D,Truck,City B,City Y,23,556.47
154,2023-01-13,Route D,Ship,City A,City W,58,692.48
155,2023-01-13,Route D,Rail,City C,City X,30,295.22
156,2023-01-14,Route A,Air,City D,City X,88,241.09
157,2023-01-14,Route A,Air,City B,City W,15,549.12
158,2023-01-14,Route A,Ship,City C,City Y,10,69.04
159,2023-01-14,Route B,Air,City C,City W,16,474.01
160,2023-01-14,Route B,Air,City D,City Z,65,544.58
161,2023-01-14,Route B,Rail,City A,City X,56,737.19
162,2023-01-14,Route C,Pipeline,City C,City X,12,236.64
163,2023-01-14,Route C,Pipeline,City A,City Z,74,49.83
164,2023-01-14,Route C,Ship,City D,City W,36,189.67
165,2023-01-14,Route D,Pipeline,City D,City W,12,475.31
166,2023-01-14,Route D,Rail,City C,City Z,86,113.55
167,2023-01-14,Route D,Ship,City C,City W,89,500.51
168,2023-01-15,Route A,Rail,City A,City W,12,321.37
169,2023-01-15,Route A,Air,City A,City W,66,826.68
170,2023-01-15,Route A,Truck,City D,City W,7,195.71
171,2023-01-15,Route B,Air,City D,City W,98,61.1
172,2023-01-15,Route B,Air,City B,City Z,57,882.04
173,2023-01-15,Route B,Rail,City A,City X,81,612.78
174,2023-01-15,Route C,Ship,City B,City Z,71,23.54
175,2023-01-15,Route C,Rail,City A,City Y,15,466.83
176,2023-01-15,Route C,Truck,City B,City W,92,298.94
177,2023-01-15,Route D,Air,City D,City W,61,251.29
178,2023-01-15,Route D,Pipeline,City B,City W,25,922.65
179,2023-01-15,Route D,Pipeline,City B,City X,36,774.95
180,2023-01-16,Route A,Rail,City C,City Z,1,290.01
181,2023-01-16,Route A,Air,City D,City Y,58,543.19
182,2023-01-16,Route A,Air,City C,City W,59,933.52
183,2023-01-16,Route B,Ship,City B,City W,30,857.45
184,2023-01-16,Route B,Rail,City A,City Z,96,478.25
185,2023-01-16,Route B,Rail,City D,City Y,64,965.18
186,2023-01-16,Route C,Ship,City C,City X,57,108.71
187,2023-01-16,Route C,Rail,City A,City Y,53,872.22
188,2023-01-16,Route C,Ship,City A,City W,34,345.18
189,2023-01-16,Route D,Rail,City A,City Z,87,860.75
190,2023-01-16,Route D,Rail,City C,City W,70,45.54
191,2023-01-16,Route D,Truck,City B,City Z,30,749.3
192,2023-01-17,Route A,Rail,City A,City X,57,174.7
193,2023-01-17,Route A,Air,City A,City X,42,798.18
194,2023-01-17,Route A,Air,City C,City Z,56,154.11
195,2023-01-17,Route B,Pipeline,City D,City Y,22,183.32
196,2023-01-17,Route B,Pipeline,City D,City Y,64,913.7
197,2023-01-17,Route B,Ship,City B,City W,82,261.44
198,2023-01-17,Route C,Air,City A,City W,37,680.83
199,2023-01-17,Route C,Ship,City A,City W,45,987.78
200,2023-01-17,Route C,Air,City D,City Z,59,846.85
201,2023-01-17,Route D,Ship,City D,City W,14,244.83
202,2023-01-17,Route D,Pipeline,City C,City Z,90,302.28
203,2023-01-17,Route D,Rail,City C,City X,73,866.42
204,2023-01-18,Route A,Truck,City D,City Z,100,800.87
205,2023-01-18,Route A,Pipeline,City C,City Y,82,198.23
206,2023-01-18,Route A,Air,City B,City X,81,649.88
207,2023-01-18,Route B,Air,City D,City X,75,371.21
208,2023-01-18,Route B,Ship,City A,City Z,42,750.01
209,2023-01-18,Route B,Ship,City B,City Y,70,877.7
210,2023-01-18,Route C,Air,City C,City Y,33,914.91
211,2023-01-18,Route C,Rail,City C,City Z,15,473.65
212,2023-01-18,Route C,Truck,City B,City Y,87,726.97
213,2023-01-18,Route D,Rail,City C,City X,51,23.78
214,2023-01-18,Route D,Pipeline,City A,City W,48,676.1
215,2023-01-18,Route D,Air,City D,City Z,14,678.09
216,2023-01-19,Route A,Rail,City A,City Z,79,229.15
217,2023-01-19,Route A,Truck,City D,City Z,84,414.21
218,2023-01-19,Route A,Ship,City A,City X,39,995.97
219,2023-01-19,Route B,Truck,City A,City Y,69,144.31
220,2023-01-19,Route B,Rail,City C,City W,76,744.85
221,2023-01-19,Route B,Ship,City D,City X,63,619.5
222,2023-01-19,Route C,Air,City A,City Z,28,448.95
223,2023-01-19,Route C,Ship,City C,City X,88,373.66
224,2023-01-19,Route C,Air,City A,City W,36,197.91
225,2023-01-19,Route D,Truck,City D,City X,85,219.98
226,2023-01-19,Route D,Pipeline,City A,City X,43,251.13
227,2023-01-19,Route D,Ship,City B,City X,98,558.67
228,2023-01-20,Route A,Pipeline,City B,City Y,43,776.62
229,2023-01-20,Route A,Pipeline,City A,City Z,19,987.65
230,2023-01-20,Route A,Pipeline,City C,City Y,15,664.45
231,2023-01-20,Route B,Truck,City B,City X,46,792.08
232,2023-01-20,Route B,Ship,City C,City X,23,272.71
233,2023-01-20,Route B,Ship,City D,City X,96,72.92
234,2023-01-20,Route C,Rail,City C,City X,58,508.8
235,2023-01-20,Route C,Pipeline,City A,City Z,59,646.91
236,2023-01-20,Route C,Truck,City A,City W,52,432.01
237,2023-01-20,Route D,Truck,City D,City W,10,900.27
238,2023-01-20,Route D,Air,City B,City X,17,282.27
239,2023-01-20,Route D,Pipeline,City C,City W,77,535.25
240,2023-01-21,Route A,Rail,City D,City X,90,123.27
241,2023-01-21,Route A,Pipeline,City B,City W,58,889.21
242,2023-01-21,Route A,Rail,City C,City W,52,421.83
243,2023-01-21,Route B,Truck,City C,City W,41,668.46
244,2023-01-21,Route B,Air,City B,City W,9,100.31
245,2023-01-21,Route B,Truck,City A,City W,13,747.14
246,2023-01-21,Route C,Air,City B,City X,76,957.06
247,2023-01-21,Route C,Pipeline,City C,City X,53,360.06
248,2023-01-21,Route C,Rail,City A,City Z,77,319.32
249,2023-01-21,Route D,Truck,City B,City Y,85,487.37
250,2023-01-21,Route D,Truck,City C,City Z,15,764.98
251,2023-01-21,Route D,Pipeline,City B,City W,72,974.8
252,2023-01-22,Route A,Pipeline,City A,City Z,4,188.61
253,2023-01-22,Route A,Air,City C,City Z,1,189.59
254,2023-01-22,Route A,Ship,City D,City X,19,743.56
255,2023-01-22,Route B,Truck,City A,City Y,49,425.63
256,2023-01-22,Route B,Air,City B,City Z,40,724.38
257,2023-01-22,Route B,Pipeline,City A,City X,20,165.84
258,2023-01-22,Route C,Pipeline,City A,City X,35,448.68
259,2023-01-22,Route C,Rail,City D,City W,54,280.44
260,2023-01-22,Route C,Pipeline,City A,City Z,56,119.78
261,2023-01-22,Route D,Pipeline,City D,City Z,6,228.31
262,2023-01-22,Route D,Pipeline,City A,City X,27,308.41
263,2023-01-22,Route D,Ship,City B,City Z,38,334.84
264,2023-01-23,Route A,Truck,City D,City W,23,137.89
265,2023-01-23,Route A,Pipeline,City B,City Z,10,403.1
266,2023-01-23,Route A,Truck,City D,City X,59,921.95
267,2023-01-23,Route B,Air,City D,City W,91,643.74
268,2023-01-23,Route B,Air,City A,City W,3,966.54
269,2023-01-23,Route B,Ship,City D,City Z,12,442.34
270,2023-01-23,Route C,Truck,City B,City W,76,406.45
271,2023-01-23,Route C,Truck,City D,City Z,96,346.12
272,2023-01-23,Route C,Air,City B,City X,66,636.89
273,2023-01-23,Route D,Pipeline,City B,City Z,45,730.11
274,2023-01-23,Route D,Ship,City B,City X,19,263.41
275,2023-01-23,Route D,Ship,City B,City X,23,951.78
276,2023-01-24,Route A,Rail,City D,City W,88,924.91
277,2023-01-24,Route A,Pipeline,City C,City Z,20,445.37
278,2023-01-24,Route A,Rail,City D,City Z,36,595.51
279,2023-01-24,Route B,Air,City A,City Z,60,457.39
280,2023-01-24,Route B,Truck,City C,City Z,10,648.22
281,2023-01-24,Route B,Truck,City D,City W,75,558.77
282,2023-01-24,Route C,Truck,City D,City Y,42,608.96
283,2023-01-24,Route C,Pipeline,City B,City X,58,112.47
284,2023-01-24,Route C,Air,City A,City Y,6,255.27
285,2023-01-24,Route D,Rail,City D,City Y,47,379.12
286,2023-01-24,Route D,Air,City D,City W,100,344.98
287,2023-01-24,Route D,Pipeline,City A,City Z,9,336.39
288,2023-01-25,Route A,Pipeline,City D,City Z,33,726.5
289,2023-01-25,Route A,Pipeline,City B,City Z,11,586.91
290,2023-01-25,Route A,Ship,City C,City Z,84,701.5
291,2023-01-25,Route B,Rail,City B,City X,40,563.33
292,2023-01-25,Route B,Air,City B,City X,83,673.75
293,2023-01-25,Route B,Pipeline,City C,City X,47,315.78
294,2023-01-25,Route C,Ship,City C,City W,25,234.28
295,2023-01-25,Route C,Ship,City B,City X,38,845.98
296,2023-01-25,Route C,Truck,City A,City Z,99,621.85
297,2023-01-25,Route D,Pipeline,City D,City Y,21,189.04
298,2023-01-25,Route D,Pipeline,City B,City W,6,416.75
299,2023-01-25,Route D,Ship,City D,City Z,97,751.05
300,2023-01-26,Route A,Rail,City B,City Y,40,965.94
301,2023-01-26,Route A,Rail,City B,City Z,87,947.66
302,2023-01-26,Route A,Rail,City D,City Z,100,388.05
303,2023-01-26,Route B,Pipeline,City D,City Y,26,803.25
304,2023-01-26,Route B,Ship,City C,City X,83,485.78
305,2023-01-26,Route B,Air,City A,City X,37,93.04
306,2023-01-26,Route C,Ship,City C,City W,66,155.88
307,2023-01-26,Route C,Rail,City A,City Y,58,885.78
308,2023-01-26,Route C,Truck,City D,City X,51,506.99
309,2023-01-26,Route D,Ship,City D,City X,48,232.29
310,2023-01-26,Route D,Air,City A,City Z,19,146.22
311,2023-01-26,Route D,Air,City D,City Y,98,708.48
312,2023-01-27,Route A,Rail,City A,City X,3,263.36
313,2023-01-27,Route A,Ship,City D,City X,100,295.22
314,2023-01-27,Route A,Air,City A,City X,31,425.63
315,2023-01-27,Route B,Pipeline,City D,City X,15,838.32
316,2023-01-27,Route B,Rail,City A,City Y,92,152.14
317,2023-01-27,Route B,Rail,City A,City Z,31,574.96
318,2023-01-27,Route C,Ship,City A,City Z,9,953.87
319,2023-01-27,Route C,Pipeline,City A,City W,61,53.1
320,2023-01-27,Route C,Rail,City C,City Z,96,26.08
321,2023-01-27,Route D,Truck,City C,City Y,94,660.53
322,2023-01-27,Route D,Truck,City C,City Y,6,358.78
323,2023-01-27,Route D,Air,City B,City W,90,483.75
324,2023-01-28,Route A,Ship,City B,City X,92,778.43
325,2023-01-28,Route A,Rail,City A,City Z,26,53.37
326,2023-01-28,Route A,Ship,City A,City Z,40,520.23
327,2023-01-28,Route B,Pipeline,City D,City Z,5,755.76
328,2023-01-28,Route B,Ship,City C,City Z,100,57.33
329,2023-01-28,Route B,Air,City C,City X,48,442.58
330,2023-01-28,Route C,Rail,City D,City W,44,973.99
331,2023-01-28,Route C,Rail,City D,City Z,67,274.05
332,2023-01-28,Route C,Truck,City D,City X,56,606.43
333,2023-01-28,Route D,Ship,City C,City Z,14,89.27
334,2023-01-28,Route D,Air,City C,City W,78,720.49
335,2023-01-28,Route D,Ship,City D,City Z,58,51.93
336,2023-01-29,Route A,Air,City D,City Z,82,980.23
337,2023-01-29,Route A,Truck,City A,City W,47,517.96
338,2023-01-29,Route A,Ship,City A,City Y,78,681.31
339,2023-01-29,Route B,Rail,City A,City Y,9,243.64
340,2023-01-29,Route B,Air,City C,City W,73,42.06
341,2023-01-29,Route B,Ship,City D,City Z,48,449.5
342,2023-01-29,Route C,Truck,City B,City Z,51,321.24
343,2023-01-29,Route C,Air,City B,City X,4,738.32
344,2023-01-29,Route C,Rail,City D,City X,34,777.21
345,2023-01-29,Route D,Rail,City B,City Z,89,917.31
346,2023-01-29,Route D,Rail,City B,City X,18,854.3
347,2023-01-29,Route D,Rail,City B,City W,12,812.41
348,2023-01-30,Route A,Air,City C,City X,71,546.75
349,2023-01-30,Route A,Air,City B,City Y,47,513.67
350,2023-01-30,Route A,Truck,City B,City Y,31,792.47
351,2023-01-30,Route B,Truck,City C,City Z,60,805.63
352,2023-01-30,Route B,Pipeline,City B,City X,9,316.2
353,2023-01-30,Route B,Rail,City D,City W,74,83.01
354,2023-01-30,Route C,Air,City A,City W,60,683.31
355,2023-01-30,Route C,Air,City B,City Y,99,966.6
356,2023-01-30,Route C,Rail,City A,City X,67,161.49
357,2023-01-30,Route D,Ship,City B,City Z,91,233.22
358,2023-01-30,Route D,Pipeline,City C,City X,33,204.34
359,2023-01-30,Route D,Pipeline,City C,City Y,81,309.8
360,2023-01-31,Route A,Pipeline,City A,City Y,76,942.19
361,2023-01-31,Route A,Ship,City B,City Z,73,50.78
362,2023-01-31,Route A,Truck,City A,City X,83,773.31
363,2023-01-31,Route B,Air,City B,City W,80,642.6
364,2023-01-31,Route B,Rail,City C,City Z,62,252.43
365,2023-01-31,Route B,Rail,City C,City W,10,691.73
366,2023-01-31,Route C,Ship,City D,City W,62,469.8
367,2023-01-31,Route C,Air,City B,City Z,92,326.12
368,2023-01-31,Route C,Air,City D,City Y,98,376.83
369,2023-01-31,Route D,Pipeline,City A,City Z,31,471.81
370,2023-01-31,Route D,Air,City D,City Y,19,105.84
371,2023-01-31,Route D,Air,City D,City W,32,963.06
372,2023-02-01,Route A,Ship,City C,City Z,25,765.49
373,2023-02-01,Route A,Rail,City D,City W,40,502.4
374,2023-02-01,Route A,Truck,City D,City W,31,222.99
375,2023-02-01,Route B,Air,City A,City X,37,499.95
376,2023-02-01,Route B,Rail,City C,City X,14,436.62
377,2023-02-01,Route B,Air,City C,City W,47,54.79
378,2023-02-01,Route C,Truck,City B,City Z,71,295.72
379,2023-02-01,Route C,Rail,City D,City Z,80,683.59
380,2023-02-01,Route C,Truck,City B,City X,51,379.47
381,2023-02-01,Route D,Air,City C,City Y,26,606.44
382,2023-02-01,Route D,Rail,City A,City X,5,145.67
383,2023-02-01,Route D,Air,City D,City W,20,610.2
384,2023-02-02,Route A,Pipeline,City B,City Z,79,325.34
385,2023-02-02,Route A,Rail,City C,City Z,65,830.01
386,2023-02-02,Route A,Pipeline,City D,City Z,61,817.59
387,2023-02-02,Route B,Air,City C,City X,54,587.87
388,2023-02-02,Route B,Truck,City D,City Z,84,785.07
389,2023-02-02,Route B,Pipeline,City B,City X,75,485.64
390,2023-02-02,Route C,Pipeline,City D,City Y,88,249.77
391,2023-02-02,Route C,Pipeline,City A,City Y,3,446.63
392,2023-02-02,Route C,Rail,City B,City W,89,211.85
393,2023-02-02,Route D,Pipeline,City D,City X,91,146.7
394,2023-02-02,Route D,Ship,City C,City W,68,383.06
395,2023-02-02,Route D,Ship,City D,City Z,70,360.74
396,2023-02-03,Route A,Air,City D,City Y,32,286.22
397,2023-02-03,Route A,Air,City B,City Z,99,296.11
398,2023-02-03,Route A,Ship,City D,City Z,62,355.32
399,2023-02-03,Route B,Air,City C,City X,74,679.86
400,2023-02-03,Route B,Rail,City D,City Z,99,806.57
401,2023-02-03,Route B,Air,City A,City Z,92,88.24
402,2023-02-03,Route C,Rail,City C,City W,28,210.05
403,2023-02-03,Route C,Pipeline,City C,City Z,18,118.13
404,2023-02-03,Route C,Pipeline,City B,City Y,7,673.14
405,2023-02-03,Route D,Pipeline,City B,City Y,7,109.2
406,2023-02-03,Route D,Air,City D,City X,88,773.06
407,2023-02-03,Route D,Truck,City B,City W,84,935.68
408,2023-02-04,Route A,Rail,City D,City Y,97,964.27
409,2023-02-04,Route A,Air,City C,City X,99,98.57
410,2023-02-04,Route A,Pipeline,City B,City X,23,423.71
411,2023-02-04,Route B,Ship,City A,City W,64,194.45
412,2023-02-04,Route B,Air,City A,City X,39,572.28
413,2023-02-04,Route B,Truck,City C,City Z,59,989.21
414,2023-02-04,Route C,Pipeline,City D,City Y,65,473.34
415,2023-02-04,Route C,Ship,City A,City Z,21,733.81
416,2023-02-04,Route C,Air,City B,City X,95,343.74
417,2023-02-04,Route D,Air,City B,City Y,79,857.59
418,2023-02-04,Route D,Rail,City D,City Z,12,406.82
419,2023-02-04,Route D,Truck,City B,City Y,62,330.37
420,2023-02-05,Route A,Ship,City A,City Z,50,243.17
421,2023-02-05,Route A,Air,City C,City Z,75,725.65
422,2023-02-05,Route A,Truck,City C,City Z,89,243.94
423,2023-02-05,Route B,Truck,City D,City Z,21,411.36
424,2023-02-05,Route B,Pipeline,City C,City X,82,916.97
425,2023-02-05,Route B,Air,City C,City Y,29,957.79
426,2023-02-05,Route C,Rail,City B,City W,96,988.95
427,2023-02-05,Route C,Air,City D,City W,97,542.14
428,2023-02-05,Route C,Ship,City B,City X,68,452.28
429,2023-02-05,Route D,Air,City A,City X,8,830.49
430,2023-02-05,Route D,Pipeline,City B,City Y,22,334.84
431,2023-02-05,Route D,Pipeline,City D,City X,88,213.35
432,2023-02-06,Route A,Pipeline,City D,City X,66,451.03
433,2023-02-06,Route A,Truck,City D,City Y,66,421.27
434,2023-02-06,Route A,Pipeline,City A,City W,87,808.85
435,2023-02-06,Route B,Truck,City D,City Z,1,748.35
436,2023-02-06,Route B,Pipeline,City A,City X,55,351.08
437,2023-02-06,Route B,Truck,City A,City X,61,41.42
438,2023-02-06,Route C,Rail,City B,City Y,99,645.11
439,2023-02-06,Route C,Rail,City C,City W,58,870.92
440,2023-02-06,Route C,Rail,City D,City X,88,964.5
441,2023-02-06,Route D,Pipeline,City B,City Z,16,186.69
442,2023-02-06,Route D,Pipeline,City D,City Y,94,978.94
443,2023-02-06,Route D,Truck,City A,City Z,60,676.76
444,2023-02-07,Route A,Pipeline,City D,City W,30,255.04
445,2023-02-07,Route A,Air,City B,City Z,25,938.04
446,2023-02-07,Route A,Truck,City A,City W,79,768.39
447,2023-02-07,Route B,Truck,City B,City Y,9,109.89
448,2023-02-07,Route B,Truck,City D,City X,32,743.14
449,2023-02-07,Route B,Rail,City D,City Y,70,225.1
450,2023-02-07,Route C,Truck,City B,City Z,30,817.63
451,2023-02-07,Route C,Pipeline,City C,City Z,31,308.75
452,2023-02-07,Route C,Ship,City B,City W,39,282.4
453,2023-02-07,Route D,Pipeline,City B,City W,72,500.66
454,2023-02-07,Route D,Air,City D,City Z,90,422.16
455,2023-02-07,Route D,Ship,City C,City W,24,756.87
456,2023-02-08,Route A,Rail,City B,City Y,39,858.97
457,2023-02-08,Route A,Ship,City D,City X,72,418.55
458,2023-02-08,Route A,Rail,City B,City W,32,262.45
459,2023-02-08,Route B,Air,City A,City W,48,101.54
460,2023-02-08,Route B,Ship,City A,City Z,49,676.94
461,2023-02-08,Route B,Pipeline,City A,City X,25,806.6
462,2023-02-08,Route C,Pipeline,City B,City W,27,870.78
463,2023-02-08,Route C,Air,City C,City X,28,937.79
464,2023-02-08,Route C,Truck,City D,City Y,90,608.36
465,2023-02-08,Route D,Ship,City D,City Y,71,328.4
466,2023-02-08,Route D,Air,City D,City W,69,652.23
