,Timestamp,Inventory Location Identifier,Product Identifier,Inventory Quantity,Safety Stock Levels,Carrying Costs
169,2023-01-15,Warehouse A,PROD002,725,105,0.1
170,2023-01-15,Warehouse A,PROD003,947,118,0.72
171,2023-01-15,Warehouse B,PROD001,962,144,0.76
172,2023-01-15,Warehouse B,PROD002,201,96,0.49
173,2023-01-15,Warehouse B,PROD003,971,135,0.93
174,2023-01-15,Distribution Center X,PROD001,638,90,0.7
175,2023-01-15,Distribution Center X,PROD002,127,142,0.91
176,2023-01-15,Distribution Center X,PROD003,519,89,0.7
177,2023-01-15,Distribution Center Y,PROD001,334,101,0.73
178,2023-01-15,Distribution Center Y,PROD002,567,66,0.27
179,2023-01-15,Distribution Center Y,PROD003,680,98,0.71
180,2023-01-16,Warehouse A,PROD001,924,72,0.65
181,2023-01-16,Warehouse A,PROD002,308,101,0.59
182,2023-01-16,Warehouse A,PROD003,0,88,0.36
183,2023-01-16,Warehouse B,PROD001,440,150,0.62
184,2023-01-16,Warehouse B,PROD002,670,91,0.52
185,2023-01-16,Warehouse B,PROD003,452,136,0.29
186,2023-01-16,Distribution Center X,PROD001,484,144,0.25
187,2023-01-16,Distribution Center X,PROD002,86,86,0.56
188,2023-01-16,Distribution Center X,PROD003,648,129,0.4
189,2023-01-16,Distribution Center Y,PROD001,838,146,0.31
190,2023-01-16,Distribution Center Y,PROD002,317,78,0.83
191,2023-01-16,Distribution Center Y,PROD003,150,53,0.14
192,2023-01-17,Warehouse A,PROD001,486,128,0.86
193,2023-01-17,Warehouse A,PROD002,74,108,0.47
194,2023-01-17,Warehouse A,PROD003,644,123,0.27
195,2023-01-17,Warehouse B,PROD001,713,99,0.54
196,2023-01-17,Warehouse B,PROD002,249,68,0.69
197,2023-01-17,Warehouse B,PROD003,5,146,0.87
198,2023-01-17,Distribution Center X,PROD001,906,63,0.8
199,2023-01-17,Distribution Center X,PROD002,224,72,0.82
200,2023-01-17,Distribution Center X,PROD003,712,116,0.52
201,2023-01-17,Distribution Center Y,PROD001,570,81,0.93
202,2023-01-17,Distribution Center Y,PROD002,124,108,0.22
203,2023-01-17,Distribution Center Y,PROD003,475,135,0.58
204,2023-01-18,Warehouse A,PROD001,572,126,0.39
205,2023-01-18,Warehouse A,PROD002,773,106,0.65
206,2023-01-18,Warehouse A,PROD003,736,114,0.48
207,2023-01-18,Warehouse B,PROD001,928,120,0.5
208,2023-01-18,Warehouse B,PROD002,162,145,0.88
209,2023-01-18,Warehouse B,PROD003,460,83,0.78
210,2023-01-18,Distribution Center X,PROD001,860,131,0.35
211,2023-01-18,Distribution Center X,PROD002,796,116,0.54
212,2023-01-18,Distribution Center X,PROD003,244,85,0.5
213,2023-01-18,Distribution Center Y,PROD001,730,86,0.31
214,2023-01-18,Distribution Center Y,PROD002,343,90,0.9
215,2023-01-18,Distribution Center Y,PROD003,82,67,0.24
216,2023-01-19,Warehouse A,PROD001,392,138,0.24
217,2023-01-19,Warehouse A,PROD002,219,58,0.47
218,2023-01-19,Warehouse A,PROD003,338,119,0.52
219,2023-01-19,Warehouse B,PROD001,63,76,0.85
220,2023-01-19,Warehouse B,PROD002,398,148,0.63
221,2023-01-19,Warehouse B,PROD003,712,52,0.87
222,2023-01-19,Distribution Center X,PROD001,783,123,0.44
223,2023-01-19,Distribution Center X,PROD002,6,95,0.37
224,2023-01-19,Distribution Center X,PROD003,399,103,0.58
225,2023-01-19,Distribution Center Y,PROD001,752,119,0.82
226,2023-01-19,Distribution Center Y,PROD002,919,78,0.54
227,2023-01-19,Distribution Center Y,PROD003,279,105,0.54
228,2023-01-20,Warehouse A,PROD001,398,93,0.7
229,2023-01-20,Warehouse A,PROD002,817,101,0.75
230,2023-01-20,Warehouse A,PROD003,860,109,0.93
231,2023-01-20,Warehouse B,PROD001,637,118,0.12
232,2023-01-20,Warehouse B,PROD002,403,125,0.61
233,2023-01-20,Warehouse B,PROD003,27,60,0.68
234,2023-01-20,Distribution Center X,PROD001,138,109,0.26
235,2023-01-20,Distribution Center X,PROD002,266,98,0.39
236,2023-01-20,Distribution Center X,PROD003,465,91,0.4
237,2023-01-20,Distribution Center Y,PROD001,900,98,0.35
238,2023-01-20,Distribution Center Y,PROD002,974,103,0.33
239,2023-01-20,Distribution Center Y,PROD003,83,110,0.12
240,2023-01-21,Warehouse A,PROD001,552,56,1.0
241,2023-01-21,Warehouse A,PROD002,358,78,0.69
242,2023-01-21,Warehouse A,PROD003,799,133,0.14
243,2023-01-21,Warehouse B,PROD001,31,81,0.28
244,2023-01-21,Warehouse B,PROD002,20,129,0.24
245,2023-01-21,Warehouse B,PROD003,129,110,0.7
246,2023-01-21,Distribution Center X,PROD001,577,77,0.52
247,2023-01-21,Distribution Center X,PROD002,262,148,0.43
248,2023-01-21,Distribution Center X,PROD003,620,127,0.97
249,2023-01-21,Distribution Center Y,PROD001,735,64,0.8
250,2023-01-21,Distribution Center Y,PROD002,167,89,0.2
251,2023-01-21,Distribution Center Y,PROD003,26,89,0.62
252,2023-01-22,Warehouse A,PROD001,929,98,0.46
253,2023-01-22,Warehouse A,PROD002,732,75,0.17
254,2023-01-22,Warehouse A,PROD003,707,130,0.32
255,2023-01-22,Warehouse B,PROD001,713,148,0.37
256,2023-01-22,Warehouse B,PROD002,700,126,0.82
257,2023-01-22,Warehouse B,PROD003,815,122,0.8
258,2023-01-22,Distribution Center X,PROD001,355,118,0.49
259,2023-01-22,Distribution Center X,PROD002,379,58,0.56
260,2023-01-22,Distribution Center X,PROD003,349,51,0.86
261,2023-01-22,Distribution Center Y,PROD001,842,112,0.19
262,2023-01-22,Distribution Center Y,PROD002,983,96,0.67
263,2023-01-22,Distribution Center Y,PROD003,848,108,0.74
264,2023-01-23,Warehouse A,PROD001,445,72,0.76
265,2023-01-23,Warehouse A,PROD002,988,133,0.34
266,2023-01-23,Warehouse A,PROD003,827,118,0.8
267,2023-01-23,Warehouse B,PROD001,476,105,0.84
268,2023-01-23,Warehouse B,PROD002,606,84,0.39
269,2023-01-23,Warehouse B,PROD003,251,61,0.35
270,2023-01-23,Distribution Center X,PROD001,461,81,0.78
271,2023-01-23,Distribution Center X,PROD002,583,128,0.7
272,2023-01-23,Distribution Center X,PROD003,344,53,0.54
273,2023-01-23,Distribution Center Y,PROD001,332,73,0.54
274,2023-01-23,Distribution Center Y,PROD002,363,83,0.41
275,2023-01-23,Distribution Center Y,PROD003,901,126,0.73
276,2023-01-24,Warehouse A,PROD001,282,121,0.11
277,2023-01-24,Warehouse A,PROD002,970,74,0.18
278,2023-01-24,Warehouse A,PROD003,737,102,0.54
279,2023-01-24,Warehouse B,PROD001,776,80,0.72
280,2023-01-24,Warehouse B,PROD002,661,141,0.54
281,2023-01-24,Warehouse B,PROD003,811,52,0.18
282,2023-01-24,Distribution Center X,PROD001,226,101,0.72
283,2023-01-24,Distribution Center X,PROD002,313,134,0.62
284,2023-01-24,Distribution Center X,PROD003,484,120,0.58
285,2023-01-24,Distribution Center Y,PROD001,435,145,0.6
286,2023-01-24,Distribution Center Y,PROD002,360,139,0.51
287,2023-01-24,Distribution Center Y,PROD003,313,82,0.31
288,2023-01-25,Warehouse A,PROD001,738,74,0.38
289,2023-01-25,Warehouse A,PROD002,760,118,0.96
290,2023-01-25,Warehouse A,PROD003,706,73,0.27
291,2023-01-25,Warehouse B,PROD001,756,111,0.35
292,2023-01-25,Warehouse B,PROD002,603,147,0.57
293,2023-01-25,Warehouse B,PROD003,289,62,0.85
294,2023-01-25,Distribution Center X,PROD001,303,79,0.42
295,2023-01-25,Distribution Center X,PROD002,309,51,0.74
296,2023-01-25,Distribution Center X,PROD003,129,85,0.14
297,2023-01-25,Distribution Center Y,PROD001,55,120,0.36
298,2023-01-25,Distribution Center Y,PROD002,966,66,0.67
299,2023-01-25,Distribution Center Y,PROD003,770,112,0.19
300,2023-01-26,Warehouse A,PROD001,12,123,0.36
301,2023-01-26,Warehouse A,PROD002,490,106,0.41
302,2023-01-26,Warehouse A,PROD003,988,56,0.33
303,2023-01-26,Warehouse B,PROD001,882,111,0.2
304,2023-01-26,Warehouse B,PROD002,66,101,0.54
305,2023-01-26,Warehouse B,PROD003,590,130,0.72
306,2023-01-26,Distribution Center X,PROD001,155,69,0.83
307,2023-01-26,Distribution Center X,PROD002,971,88,0.18
308,2023-01-26,Distribution Center X,PROD003,254,65,0.6
309,2023-01-26,Distribution Center Y,PROD001,426,127,0.64
310,2023-01-26,Distribution Center Y,PROD002,633,78,0.8
311,2023-01-26,Distribution Center Y,PROD003,389,107,0.92
312,2023-01-27,Warehouse A,PROD001,304,125,0.99
313,2023-01-27,Warehouse A,PROD002,312,122,0.66
314,2023-01-27,Warehouse A,PROD003,624,144,0.19
315,2023-01-27,Warehouse B,PROD001,781,76,0.66
316,2023-01-27,Warehouse B,PROD002,270,134,0.17
317,2023-01-27,Warehouse B,PROD003,245,72,0.6
318,2023-01-27,Distribution Center X,PROD001,160,50,0.47
319,2023-01-27,Distribution Center X,PROD002,705,126,0.52
320,2023-01-27,Distribution Center X,PROD003,33,79,0.36
321,2023-01-27,Distribution Center Y,PROD001,289,139,0.87
322,2023-01-27,Distribution Center Y,PROD002,72,137,0.31
323,2023-01-27,Distribution Center Y,PROD003,270,150,0.81
324,2023-01-28,Warehouse A,PROD001,603,134,0.82
325,2023-01-28,Warehouse A,PROD002,202,104,0.2
326,2023-01-28,Warehouse A,PROD003,230,132,0.23
327,2023-01-28,Warehouse B,PROD001,272,68,0.16
328,2023-01-28,Warehouse B,PROD002,169,89,0.64
329,2023-01-28,Warehouse B,PROD003,844,122,0.93
330,2023-01-28,Distribution Center X,PROD001,449,65,0.52
331,2023-01-28,Distribution Center X,PROD002,311,139,0.46
332,2023-01-28,Distribution Center X,PROD003,278,114,0.59
333,2023-01-28,Distribution Center Y,PROD001,448,60,0.64
334,2023-01-28,Distribution Center Y,PROD002,910,105,0.76
335,2023-01-28,Distribution Center Y,PROD003,618,82,0.12
336,2023-01-29,Warehouse A,PROD001,234,136,0.85
337,2023-01-29,Warehouse A,PROD002,589,125,0.96
338,2023-01-29,Warehouse A,PROD003,783,136,0.84
339,2023-01-29,Warehouse B,PROD001,590,55,0.79
340,2023-01-29,Warehouse B,PROD002,179,110,0.57
341,2023-01-29,Warehouse B,PROD003,452,85,0.26
342,2023-01-29,Distribution Center X,PROD001,599,105,0.67
343,2023-01-29,Distribution Center X,PROD002,503,61,0.52
344,2023-01-29,Distribution Center X,PROD003,418,92,0.39
345,2023-01-29,Distribution Center Y,PROD001,107,70,0.4
346,2023-01-29,Distribution Center Y,PROD002,710,113,0.36
347,2023-01-29,Distribution Center Y,PROD003,967,101,0.83
348,2023-01-30,Warehouse A,PROD001,563,54,0.51
349,2023-01-30,Warehouse A,PROD002,322,82,0.39
350,2023-01-30,Warehouse A,PROD003,993,148,0.46
351,2023-01-30,Warehouse B,PROD001,526,50,0.69
352,2023-01-30,Warehouse B,PROD002,555,109,0.47
353,2023-01-30,Warehouse B,PROD003,192,116,0.43
354,2023-01-30,Distribution Center X,PROD001,774,113,0.66
355,2023-01-30,Distribution Center X,PROD002,778,56,0.28
356,2023-01-30,Distribution Center X,PROD003,562,66,0.93
357,2023-01-30,Distribution Center Y,PROD001,448,139,0.54
358,2023-01-30,Distribution Center Y,PROD002,29,130,0.65
359,2023-01-30,Distribution Center Y,PROD003,245,140,0.24
360,2023-01-31,Warehouse A,PROD001,564,51,0.6
361,2023-01-31,Warehouse A,PROD002,95,78,0.99
362,2023-01-31,Warehouse A,PROD003,934,64,0.52
363,2023-01-31,Warehouse B,PROD001,120,132,0.85
364,2023-01-31,Warehouse B,PROD002,510,141,0.36
365,2023-01-31,Warehouse B,PROD003,722,84,0.47
366,2023-01-31,Distribution Center X,PROD001,494,110,0.32
367,2023-01-31,Distribution Center X,PROD002,564,68,0.45
368,2023-01-31,Distribution Center X,PROD003,943,126,0.56
369,2023-01-31,Distribution Center Y,PROD001,900,67,0.88
370,2023-01-31,Distribution Center Y,PROD002,282,148,0.81
371,2023-01-31,Distribution Center Y,PROD003,424,93,0.94
372,2023-02-01,Warehouse A,PROD001,519,84,0.84
373,2023-02-01,Warehouse A,PROD002,289,142,0.37
374,2023-02-01,Warehouse A,PROD003,601,124,1.0
375,2023-02-01,Warehouse B,PROD001,501,69,0.5
376,2023-02-01,Warehouse B,PROD002,495,94,0.4
377,2023-02-01,Warehouse B,PROD003,781,119,0.44
378,2023-02-01,Distribution Center X,PROD001,955,91,0.88
379,2023-02-01,Distribution Center X,PROD002,714,80,0.61
380,2023-02-01,Distribution Center X,PROD003,239,149,0.47
381,2023-02-01,Distribution Center Y,PROD001,325,145,0.53
382,2023-02-01,Distribution Center Y,PROD002,935,98,0.45
383,2023-02-01,Distribution Center Y,PROD003,679,133,0.98
384,2023-02-02,Warehouse A,PROD001,507,54,0.21
385,2023-02-02,Warehouse A,PROD002,988,125,0.4
386,2023-02-02,Warehouse A,PROD003,102,106,0.19
387,2023-02-02,Warehouse B,PROD001,932,108,0.11
388,2023-02-02,Warehouse B,PROD002,147,102,0.88
389,2023-02-02,Warehouse B,PROD003,993,69,0.17
390,2023-02-02,Distribution Center X,PROD001,800,83,0.4
391,2023-02-02,Distribution Center X,PROD002,709,100,0.68
392,2023-02-02,Distribution Center X,PROD003,872,92,0.87
393,2023-02-02,Distribution Center Y,PROD001,879,118,0.44
394,2023-02-02,Distribution Center Y,PROD002,324,130,0.75
395,2023-02-02,Distribution Center Y,PROD003,777,112,0.89
396,2023-02-03,Warehouse A,PROD001,36,129,0.16
397,2023-02-03,Warehouse A,PROD002,646,137,0.93
398,2023-02-03,Warehouse A,PROD003,232,145,0.18
399,2023-02-03,Warehouse B,PROD001,100,147,0.67
400,2023-02-03,Warehouse B,PROD002,893,62,0.5
401,2023-02-03,Warehouse B,PROD003,710,88,0.91
402,2023-02-03,Distribution Center X,PROD001,47,91,0.82
403,2023-02-03,Distribution Center X,PROD002,300,95,0.44
404,2023-02-03,Distribution Center X,PROD003,149,81,0.58
405,2023-02-03,Distribution Center Y,PROD001,579,137,0.81
406,2023-02-03,Distribution Center Y,PROD002,174,72,0.17
407,2023-02-03,Distribution Center Y,PROD003,891,98,0.66
408,2023-02-04,Warehouse A,PROD001,246,113,0.92
409,2023-02-04,Warehouse A,PROD002,146,79,0.52
410,2023-02-04,Warehouse A,PROD003,260,108,0.33
411,2023-02-04,Warehouse B,PROD001,9,109,0.91
412,2023-02-04,Warehouse B,PROD002,693,119,0.24
413,2023-02-04,Warehouse B,PROD003,452,94,0.99
414,2023-02-04,Distribution Center X,PROD001,306,131,0.97
415,2023-02-04,Distribution Center X,PROD002,706,82,0.51
416,2023-02-04,Distribution Center X,PROD003,309,75,1.0
417,2023-02-04,Distribution Center Y,PROD001,873,111,0.2
418,2023-02-04,Distribution Center Y,PROD002,390,123,0.42
419,2023-02-04,Distribution Center Y,PROD003,302,139,0.37
420,2023-02-05,Warehouse A,PROD001,849,134,0.46
421,2023-02-05,Warehouse A,PROD002,8,122,0.88
422,2023-02-05,Warehouse A,PROD003,796,145,0.98
423,2023-02-05,Warehouse B,PROD001,932,127,0.77
424,2023-02-05,Warehouse B,PROD002,852,86,0.8
425,2023-02-05,Warehouse B,PROD003,235,127,0.82
426,2023-02-05,Distribution Center X,PROD001,224,131,0.27
427,2023-02-05,Distribution Center X,PROD002,256,136,0.78
428,2023-02-05,Distribution Center X,PROD003,785,134,0.71
429,2023-02-05,Distribution Center Y,PROD001,140,130,0.19
430,2023-02-05,Distribution Center Y,PROD002,642,132,0.14
431,2023-02-05,Distribution Center Y,PROD003,807,106,0.13
432,2023-02-06,Warehouse A,PROD001,373,143,0.22
433,2023-02-06,Warehouse A,PROD002,931,87,0.39
434,2023-02-06,Warehouse A,PROD003,425,72,0.28
435,2023-02-06,Warehouse B,PROD001,805,119,0.89
436,2023-02-06,Warehouse B,PROD002,374,117,0.55
437,2023-02-06,Warehouse B,PROD003,279,71,0.33
438,2023-02-06,Distribution Center X,PROD001,844,111,0.97
439,2023-02-06,Distribution Center X,PROD002,302,145,0.88
440,2023-02-06,Distribution Center X,PROD003,823,64,0.52
441,2023-02-06,Distribution Center Y,PROD001,77,68,0.78
442,2023-02-06,Distribution Center Y,PROD002,231,136,0.75
443,2023-02-06,Distribution Center Y,PROD003,406,121,0.43
444,2023-02-07,Warehouse A,PROD001,809,100,0.11
445,2023-02-07,Warehouse A,PROD002,549,65,0.51
446,2023-02-07,Warehouse A,PROD003,688,145,0.71
447,2023-02-07,Warehouse B,PROD001,598,98,0.84
448,2023-02-07,Warehouse B,PROD002,962,97,0.2
449,2023-02-07,Warehouse B,PROD003,239,110,0.12
450,2023-02-07,Distribution Center X,PROD001,905,121,0.4
451,2023-02-07,Distribution Center X,PROD002,624,78,0.68
452,2023-02-07,Distribution Center X,PROD003,650,109,0.92
453,2023-02-07,Distribution Center Y,PROD001,309,133,0.47
454,2023-02-07,Distribution Center Y,PROD002,143,55,0.95
455,2023-02-07,Distribution Center Y,PROD003,311,113,0.2
456,2023-02-08,Warehouse A,PROD001,240,118,0.22
457,2023-02-08,Warehouse A,PROD002,464,97,0.7
458,2023-02-08,Warehouse A,PROD003,760,139,0.95
459,2023-02-08,Warehouse B,PROD001,429,125,0.77
460,2023-02-08,Warehouse B,PROD002,158,103,0.69
461,2023-02-08,Warehouse B,PROD003,853,112,0.65
462,2023-02-08,Distribution Center X,PROD001,961,85,0.13
463,2023-02-08,Distribution Center X,PROD002,379,77,0.5
464,2023-02-08,Distribution Center X,PROD003,973,80,0.87
465,2023-02-08,Distribution Center Y,PROD001,101,137,0.43
466,2023-02-08,Distribution Center Y,PROD002,923,132,0.42
